Zipcode,State_Abbrev,City,County,State_Rate,City/CountyRates,Combined_Rate
35004,AL,Moody,Saint Clair,0.04,0.060000000000000005,0.1
35005,AL,Adamsville,Jefferson,0.04,0.060000000000000005,0.1
35006,AL,Adger,Jefferson,0.04,0.019999999999999997,0.06
35007,AL,Alabaster,Shelby,0.04,0.049999999999999996,0.09
35114,AL,Alabaster,Shelby,0.04,0.049999999999999996,0.09
35010,AL,Alexander City,Tallapoosa,0.04,0.060000000000000005,0.1
35011,AL,Alexander City,Tallapoosa,0.04,0.060000000000000005,0.1
35013,AL,Allgood,Blount,0.04,0.060000000000000005,0.1
35014,AL,Alpine,Talladega,0.04,0.030000000000000006,0.07
35015,AL,Alton,Jefferson,0.04,0.019999999999999997,0.06
35016,AL,Arab,Marshall,0.04,0.049999999999999996,0.09
35019,AL,Baileyton,Cullman,0.04,0.045000000000000005,0.085
35020,AL,Bessemer,Jefferson,0.04,0.060000000000000005,0.1
35021,AL,Bessemer,Jefferson,0.04,0.060000000000000005,0.1
35022,AL,Bessemer,Jefferson,0.04,0.060000000000000005,0.1
35023,AL,Bessemer,Jefferson,0.04,0.060000000000000005,0.1
35031,AL,Blountsville,Blount,0.04,0.049999999999999996,0.09
35033,AL,Bremen,Cullman,0.04,0.045000000000000005,0.085
35034,AL,Brent,Bibb,0.04,0.049999999999999996,0.09
35035,AL,Brierfield,Bibb,0.04,0.04,0.08
35036,AL,Brookside,Jefferson,0.04,0.060000000000000005,0.1
35038,AL,Burnwell,Walker,0.04,0.019999999999999997,0.06
35040,AL,Calera,Shelby,0.04,0.049999999999999996,0.09
35042,AL,Centreville,Bibb,0.04,0.060000000000000005,0.1
35043,AL,Chelsea,Shelby,0.04,0.060000000000000005,0.1
35044,AL,Childersburg,Talladega,0.04,0.049999999999999996,0.09
35045,AL,Clanton,Chilton,0.04,0.060000000000000005,0.1
35046,AL,Clanton,Chilton,0.04,0.060000000000000005,0.1
35048,AL,Clay,Jefferson,0.04,0.060000000000000005,0.1
35049,AL,Cleveland,Blount,0.04,0.049999999999999996,0.09
35051,AL,Columbiana,Shelby,0.04,0.049999999999999996,0.09
35052,AL,Cook Springs,Saint Clair,0.04,0.019999999999999997,0.06
35053,AL,Crane Hill,Cullman,0.04,0.045000000000000005,0.085
35054,AL,Cropwell,Saint Clair,0.04,0.019999999999999997,0.06
35055,AL,Cullman,Cullman,0.04,0.049999999999999996,0.09
35056,AL,Cullman,Cullman,0.04,0.049999999999999996,0.09
35057,AL,Cullman,Cullman,0.04,0.049999999999999996,0.09
35058,AL,Cullman,Cullman,0.04,0.049999999999999996,0.09
35060,AL,Docena,Jefferson,0.04,0.019999999999999997,0.06
35061,AL,Dolomite,Jefferson,0.04,0.019999999999999997,0.06
35062,AL,Dora,Jefferson,0.04,0.049999999999999996,0.09
35063,AL,Empire,Walker,0.04,0.019999999999999997,0.06
35064,AL,Fairfield,Jefferson,0.04,0.060000000000000005,0.1
35068,AL,Fultondale,Jefferson,0.04,0.060000000000000005,0.1
35070,AL,Garden City,Cullman,0.04,0.049999999999999996,0.09
35071,AL,Gardendale,Jefferson,0.04,0.060000000000000005,0.1
35072,AL,Goodwater,Coosa,0.04,0.049999999999999996,0.09
35073,AL,Graysville,Jefferson,0.04,0.060000000000000005,0.1
35074,AL,Green Pond,Bibb,0.04,0.04,0.08
35077,AL,Hanceville,Cullman,0.04,0.049999999999999996,0.09
35078,AL,Harpersville,Shelby,0.04,0.049999999999999996,0.09
35079,AL,Hayden,Blount,0.04,0.049999999999999996,0.09
35080,AL,Helena,Shelby,0.04,0.049999999999999996,0.09
35082,AL,Hollins,Clay,0.04,0.019999999999999997,0.06
35083,AL,Holly Pond,Cullman,0.04,0.045000000000000005,0.085
35085,AL,Jemison,Chilton,0.04,0.07,0.11
35087,AL,Joppa,Cullman,0.04,0.045000000000000005,0.085
35089,AL,Kellyton,Coosa,0.04,0.04,0.08
35091,AL,Kimberly,Jefferson,0.04,0.060000000000000005,0.1
35094,AL,Leeds,Jefferson,0.04,0.060000000000000005,0.1
35096,AL,Lincoln,Talladega,0.04,0.060000000000000005,0.1
35097,AL,Locust Fork,Blount,0.04,0.049999999999999996,0.09
35098,AL,Logan,Cullman,0.04,0.045000000000000005,0.085
35112,AL,Margaret,Saint Clair,0.04,0.060000000000000005,0.1
35115,AL,Montevallo,Shelby,0.04,0.060000000000000005,0.1
35116,AL,Morris,Jefferson,0.04,0.060000000000000005,0.1
35117,AL,Mount Olive,Jefferson,0.04,0.019999999999999997,0.06
35118,AL,Mulga,Jefferson,0.04,0.049999999999999996,0.09
35119,AL,New Castle,Jefferson,0.04,0.019999999999999997,0.06
35120,AL,Odenville,Saint Clair,0.04,0.060000000000000005,0.1
35121,AL,Oneonta,Blount,0.04,0.060000000000000005,0.1
35123,AL,Palmerdale,Jefferson,0.04,0.019999999999999997,0.06
35124,AL,Pelham,Shelby,0.04,0.049999999999999996,0.09
35125,AL,Pell City,Saint Clair,0.04,0.060000000000000005,0.1
35128,AL,Pell City,Saint Clair,0.04,0.060000000000000005,0.1
35126,AL,Pinson,Jefferson,0.04,0.060000000000000005,0.1
35127,AL,Pleasant Grove,Jefferson,0.04,0.060000000000000005,0.1
35130,AL,Quinton,Walker,0.04,0.019999999999999997,0.06
35131,AL,Ragland,Saint Clair,0.04,0.060000000000000005,0.1
35133,AL,Remlap,Blount,0.04,0.030000000000000006,0.07
35135,AL,Riverside,Saint Clair,0.04,0.060000000000000005,0.1
35136,AL,Rockford,Coosa,0.04,0.049999999999999996,0.09
35137,AL,Saginaw,Shelby,0.04,0.010000000000000002,0.05
35139,AL,Sayre,Jefferson,0.04,0.019999999999999997,0.06
35142,AL,Shannon,Jefferson,0.04,0.019999999999999997,0.06
35143,AL,Shelby,Shelby,0.04,0.010000000000000002,0.05
35144,AL,Siluria,Shelby,0.04,0.010000000000000002,0.05
35146,AL,Springville,Saint Clair,0.04,0.060000000000000005,0.1
35147,AL,Sterrett,Shelby,0.04,0.010000000000000002,0.05
35148,AL,Sumiton,Walker,0.04,0.060000000000000005,0.1
35149,AL,Sycamore,Talladega,0.04,0.030000000000000006,0.07
35150,AL,Sylacauga,Talladega,0.04,0.04,0.08
35151,AL,Sylacauga,Talladega,0.04,0.04,0.08
35160,AL,Talladega,Talladega,0.04,0.060000000000000005,0.1
35161,AL,Talladega,Talladega,0.04,0.060000000000000005,0.1
35171,AL,Thorsby,Chilton,0.04,0.060000000000000005,0.1
